GP_name,quali_position,name_constructor,age_at_gp_in_days,driver,position,driver_confidence,constructor_reliability,driver_home,constructor_home
0,6,7,-0.17215524345148975,4,1,0.9421965317919075,0.825,1,0
0,8,7,0.03607113416285551,4,1,0.9421965317919075,0.825,1,0
0,0,7,0.24429751177720077,4,2,0.9421965317919075,0.825,1,0
0,8,7,0.4485950898139169,4,1,0.9421965317919075,0.825,1,0
0,12,7,-1.1599677086839633,5,2,0.9175257731958762,0.825,0,0
0,18,7,-0.951741331069618,5,2,0.9175257731958762,0.825,0,0
0,5,7,-1.4467700778508916,13,1,0.9142857142857143,0.825,0,0
0,4,7,-1.2424724998141754,13,1,0.9142857142857143,0.825,0,0
0,4,7,-1.0421037213550886,13,0,0.9142857142857143,0.825,0,0
0,17,7,-0.7047882147614996,15,2,0.9387755102040817,0.825,0,0
0,17,8,1.2046083799662701,9,1,0.9440993788819876,0.5301507537688442,0,0
